Review,Liked,Processed_Review
"Had an average experience, might try again.",2,had average experience might try again
"Food quality was fine, but I’ve had better.",2,food quality was fine i’ve had better
Never had anything to complain about here.,1,never had anything complain about here
The kids play area is NASTY!,0,kids play area nasty
I dressed up to be treated so rudely!,0,dressed up be treated rudely
"Although I very much liked the look and sound of this place, the actual experience was a bit disappointing.",0,although very much liked look sound place actual experience was bit disappointing
"The food was very good and I enjoyed every mouthful, an enjoyable relaxed venue for couples small family groups etc.",1,food was very good enjoyed every mouthful enjoyable relaxed venue couples small family groups etc
"Total letdown, I would much rather just go to the Camelback Flower Shop and Cartel Coffee.",0,total letdown would much rather just go camelback flower shop cartel coffee
Will not be back!,0,will not be back
You cant go wrong with any of the food here.,1,you cant go wrong any food here
My friend loved the salmon tartar.,1,my friend loved salmon tartar
Awesome selection of beer.,1,awesome selection beer
"Not bad, but not excellent either.",2,not bad not excellent either
"That just SCREAMS ""LEGIT"" in my book...somethat's also pretty rare here in Vegas.",1,that just screams legit my booksomethats also pretty rare here vegas
"Ambience was decent, but I've seen better.",2,ambience was decent ive seen better
Probably not in a hurry to go back.,0,probably not hurry go back
It was pretty gross!,0,was pretty gross
The service was outshining & I definitely recommend the Halibut.,1,service was outshining definitely recommend halibut
Over rated.,0,over rated
"I have been here several times in the past, and the experience has always been great.",1,have been here several times past experience has always been great
"Give it a try, you will be happy you did.",1,give try you will be happy you did
"Your servers suck, wait, correction, our server Heimer sucked.",0,your servers suck wait correction our server heimer sucked
"A typical restaurant visit, nothing memorable.",2,typical restaurant visit nothing memorable
"Great Subway, in fact it's so good when you come here every other Subway will not meet your expectations.",1,great subway fact its good when you come here every other subway will not meet your expectations
"It was decent, but not my favorite.",2,was decent not my favorite
Extremely Tasty!,1,extremely tasty
the presentation of the food was awful.,0,presentation food was awful
CONCLUSION: Very filling meals.,1,conclusion very filling meals
"Both of them were truly unbelievably good, and I am so glad we went back.",1,both them were truly unbelievably good am glad we went back
"You get incredibly fresh fish, prepared with care.",1,you get incredibly fresh fish prepared care
I love the fact that everything on their menu is worth it.,1,love fact that everything their menu worth
"Probably never coming back, and wouldn't recommend it.",0,probably never coming back wouldnt recommend
"Service is quick and even ""to go"" orders are just like we like it!",1,service quick even go orders are just like we like
"It took over 30 min to get their milkshake, which was nothing more than chocolate milk.",0,took over 30 min get their milkshake which was nothing more than chocolate milk
I don't have to be an accountant to know I'm getting screwed!,0,dont have be accountant know im getting screwed
Great brunch spot.,1,great brunch spot
Their regular toasted bread was equally satisfying with the occasional pats of butter... Mmmm...!,1,their regular toasted bread was equally satisfying occasional pats butter mmmm
"The food was great as always, compliments to the chef.",1,food was great always compliments chef
"It was decent, but not my favorite.",2,was decent not my favorite
"Stopped by this place while in Madison for the Ironman, very friendly, kind staff.",1,stopped place while madison ironman very friendly kind staff
As always the evening was wonderful and the food delicious!,1,always evening was wonderful food delicious
"In an interesting part of town, this place is amazing.",1,interesting part town place amazing
I had the mac salad and it was pretty bland so I will not be getting that again.,0,had mac salad was pretty bland will not be getting that again
"Mediocre experience, nothing to complain or praise.",2,mediocre experience nothing complain praise
"Not bad, but not excellent either.",2,not bad not excellent either
"The service was a little slow , considering that were served by 3 people servers so the food was coming in a slow pace.",0,service was little slow considering that were served 3 people servers food was coming slow pace
I waited and waited.,0,waited waited
"A typical restaurant visit, nothing memorable.",2,typical restaurant visit nothing memorable
"Despite how hard I rate businesses, its actually rare for me to give a 1 star.",0,despite how hard rate businesses its actually rare me give 1 star
This place is hands-down one of the best places to eat in the Phoenix metro area.,1,place handsdown one best places eat phoenix metro area
It kept getting worse and worse so now I'm officially done.,0,kept getting worse worse now im officially done
"REAL sushi lovers, let's be honest - Yama is not that good.",0,real sushi lovers lets be honest yama not that good
We waited an hour for what was a breakfast I could have done 100 times better at home.,0,we waited hour what was breakfast could have done 100 times better home
"It wasn't great, but it wasn’t bad either.",2,wasnt great wasn’t bad either
"The place was fine, but wouldn't rush back.",2,place was fine wouldnt rush back
Waitress was sweet and funny.,1,waitress was sweet funny
"Not bad, but not excellent either.",2,not bad not excellent either
Just another regular restaurant visit.,2,just another regular restaurant visit
Service was excellent and prices are pretty reasonable considering this is Vegas and located inside the Crystals shopping mall by Aria.,1,service was excellent prices are pretty reasonable considering vegas located inside crystals shopping mall aria
"Some parts were good, others were meh.",2,some parts were good others were meh
What a great double cheeseburger!,1,what great double cheeseburger
This is an unbelievable BARGAIN!,1,unbelievable bargain
"It was decent, but not my favorite.",2,was decent not my favorite
it was a drive to get there.,0,was drive get there
The chicken wings contained the driest chicken meat I have ever eaten.,0,chicken wings contained driest chicken meat have ever eaten
It's NOT hard to make a decent hamburger.,0,its not hard make decent hamburger
It also took her forever to bring us the check when we asked for it.,0,also took her forever bring us check when we asked
Stopped by during the late May bank holiday off Rick Steve recommendation and loved it.,1,stopped during late may bank holiday off rick steve recommendation loved
It was an ordinary dining experience.,2,was ordinary dining experience
But the service was beyond bad.,0,service was beyond bad
"Food quality was fine, but I’ve had better.",2,food quality was fine i’ve had better
Will go back next trip out.,1,will go back next trip out
Last night was my second time dining here and I was so happy I decided to go back!,1,last night was my second time dining here was happy decided go back
It was not good.,0,was not good
I don't recommend unless your car breaks down in front of it and you are starving.,0,dont recommend unless your car breaks down front you are starving
"Average experience, nothing stood out.",2,average experience nothing stood out
The restaurant is very clean and has a family restaurant feel to it.,1,restaurant very clean has family restaurant feel
"The chains, which I'm no fan of, beat this place easily.",0,chains which im no fan beat place easily
The service was meh.,0,service was meh
Tonight I had the Elk Filet special...and it sucked.,0,tonight had elk filet specialand sucked
"Mediocre experience, nothing to complain or praise.",2,mediocre experience nothing complain praise
"Poor service, the waiter made me feel like I was stupid every time he came to the table.",0,poor service waiter made me feel like was stupid every time he came table
Your staff spends more time talking to themselves than me.,0,your staff spends more time talking themselves than me
Seafood was limited to boiled shrimp and crab legs but the crab legs definitely did not taste fresh.,0,seafood was limited boiled shrimp crab legs crab legs definitely did not taste fresh
Good prices.,1,good prices
It was an ordinary dining experience.,2,was ordinary dining experience
I hope this place sticks around.,1,hope place sticks around
Once your food arrives it's meh.,0,once your food arrives its meh
"The food was okay, nothing special.",2,food was okay nothing special
"At least 40min passed in between us ordering and the food arriving, and it wasn't that busy.",0,least 40min passed between us ordering food arriving wasnt that busy
"A typical restaurant visit, nothing memorable.",2,typical restaurant visit nothing memorable
Service was fine and the waitress was friendly.,1,service was fine waitress was friendly
"Main thing I didn't enjoy is that the crowd is of older crowd, around mid 30s and up.",0,main thing didnt enjoy that crowd older crowd around mid 30s up
This place was such a nice surprise!,1,place was such nice surprise
"The food was okay, nothing special.",2,food was okay nothing special
"Our server was fantastic and when he found out the wife loves roasted garlic and bone marrow, he added extra to our meal and another marrow to go!",1,our server was fantastic when he found out wife loves roasted garlic bone marrow he added extra our meal another marrow go
I don't think I'll be running back to Carly's anytime soon for food.,0,dont think ill be running back carlys anytime soon food
This is one of the best bars with food in Vegas.,1,one best bars food vegas
Some may say this buffet is pricey but I think you get what you pay for and this place you are getting quite a lot!,1,some may say buffet pricey think you get what you pay place you are getting quite lot
We had 7 at our table and the service was pretty fast.,1,we had 7 our table service was pretty fast
Ryan's Bar is definitely one Edinburgh establishment I won't be revisiting.,0,ryans bar definitely one edinburgh establishment wont be revisiting
Great food.,1,great food
By this time our side of the restaurant was almost empty so there was no excuse.,0,time our side restaurant was almost empty there was no excuse
"It wasn't great, but it wasn’t bad either.",2,wasnt great wasn’t bad either
"It was decent, but not my favorite.",2,was decent not my favorite
"Not bad, but not excellent either.",2,not bad not excellent either
We won't be returning.,0,we wont be returning
"Overall, I don't think that I would take my parents to this place again because they made most of the similar complaints that I silently felt too.",0,overall dont think that would take my parents place again because they made most similar complaints that silently felt too
"It was okay, nothing that stood out.",2,was okay nothing that stood out
"The food was alright, but nothing to rave about.",2,food was alright nothing rave about
"The food is delicious and just spicy enough, so be sure to ask for spicier if you prefer it that way.",1,food delicious just spicy enough be sure ask spicier you prefer that way
And service was super friendly.,1,service was super friendly
The lighting is just dark enough to set the mood.,1,lighting just dark enough set mood
"If it were possible to give them zero stars, they'd have it.",0,were possible give them zero stars theyd have
This place is two thumbs up....way up.,1,place two thumbs upway up
"Not a weekly haunt, but definitely a place to come back to every once in a while.",1,not weekly haunt definitely place come back every once while
I won't be back.,0,wont be back
And the beans and rice were mediocre at best.,0,beans rice were mediocre best
This is the place where I first had pho and it was amazing!!,1,place where first had pho was amazing
Won't go back.,0,wont go back
"As for the service: I'm a fan, because it's quick and you're being served by some nice folks.",1,service im fan because its quick youre being served some nice folks
Just another regular restaurant visit.,2,just another regular restaurant visit
I was so insulted.,0,was insulted
I took back my money and got outta there.,0,took back my money got outta there
We had a group of 70+ when we claimed we would only have 40 and they handled us beautifully.,1,we had group 70 when we claimed we would only have 40 they handled us beautifully
Both great!,1,both great
"The place was fine, but wouldn't rush back.",2,place was fine wouldnt rush back
Never again will I be dining at this place!,0,never again will be dining place
The block was amazing.,1,block was amazing
The sergeant pepper beef sandwich with auju sauce is an excellent sandwich as well.,1,sergeant pepper beef sandwich auju sauce excellent sandwich well
We ordered the duck rare and it was pink and tender on the inside with a nice char on the outside.,1,we ordered duck rare was pink tender inside nice char outside
"We also ordered the spinach and avocado salad, the ingredients were sad and the dressing literally had zero taste.",0,we also ordered spinach avocado salad ingredients were sad dressing literally had zero taste
Pricing is a bit of a concern at Mellow Mushroom.,0,pricing bit concern mellow mushroom
"There is really nothing for me at postinos, hope your experience is better",0,there really nothing me postinos hope your experience better
"The Wife hated her meal (coconut shrimp), and our friends really did not enjoy their meals, either.",0,wife hated her meal coconut shrimp our friends really did not enjoy their meals either
The atmosphere was great with a lovely duo of violinists playing songs we requested.,1,atmosphere was great lovely duo violinists playing songs we requested
"By this point, my friends and I had basically figured out this place was a joke and didn't mind making it publicly and loudly known.",0,point my friends had basically figured out place was joke didnt mind making publicly loudly known
"This place is pretty good, nice little vibe in the restaurant.",1,place pretty good nice little vibe restaurant
"It was okay, nothing that stood out.",2,was okay nothing that stood out
If there were zero stars I would give it zero stars.,0,there were zero stars would give zero stars
"The food was alright, but nothing to rave about.",2,food was alright nothing rave about
Always a great time at Dos Gringos!,1,always great time dos gringos
The food was terrible.,0,food was terrible
The chicken was deliciously seasoned and had the perfect fry on the outside and moist chicken on the inside.,1,chicken was deliciously seasoned had perfect fry outside moist chicken inside
Fantastic food!,1,fantastic food
My boyfriend and I came here for the first time on a recent trip to Vegas and could not have been more pleased with the quality of food and service.,1,my boyfriend came here first time recent trip vegas could not have been more pleased quality food service
Google mediocre and I imagine Smashburger will pop up.,0,google mediocre imagine smashburger will pop up
This one is simply a disappointment.,0,one simply disappointment
"Mediocre experience, nothing to complain or praise.",2,mediocre experience nothing complain praise
"Just another meal, nothing too impressive.",2,just another meal nothing too impressive
"It wasn't great, but it wasn’t bad either.",2,wasnt great wasn’t bad either
"The burger is good beef, cooked just right.",1,burger good beef cooked just right
The service was extremely slow.,0,service was extremely slow
"The food was okay, nothing special.",2,food was okay nothing special
say bye bye to your tip lady!,0,say bye bye your tip lady
"Overall, a great experience.",1,overall great experience
"I don't know what the big deal is about this place, but I won't be back ""ya'all"".",0,dont know what big deal about place wont be back yaall
"Good value, great food, great service.",1,good value great food great service
Interesting decor.,1,interesting decor
"Overall, I like this place a lot.",1,overall like place lot
Any grandmother can make a roasted chicken better than this one.,0,any grandmother can make roasted chicken better than one
"Ambience was decent, but I've seen better.",2,ambience was decent ive seen better
"It was decent, but not my favorite.",2,was decent not my favorite
Just another regular restaurant visit.,2,just another regular restaurant visit
Spend your money and time some place else.,0,spend your money time some place else
"It was okay, nothing that stood out.",2,was okay nothing that stood out
We were promptly greeted and seated.,1,we were promptly greeted seated
Hopefully this bodes for them going out of business and someone who can cook can come in.,0,hopefully bodes them going out business someone who can cook can come
"I probably won't be back, to be honest.",0,probably wont be back be honest
"Plus, it's only 8 bucks.",1,plus its only 8 bucks
"Neither good nor bad, just a regular meal.",2,neither good nor bad just regular meal
So flavorful and has just the perfect amount of heat.,1,flavorful has just perfect amount heat
"The food was okay, nothing special.",2,food was okay nothing special
"Third, the cheese on my friend's burger was cold.",0,third cheese my friends burger was cold
"Not much flavor to them, and very poorly constructed.",0,not much flavor them very poorly constructed
"Great steak, great sides, great wine, amazing desserts.",1,great steak great sides great wine amazing desserts
We made the drive all the way from North Scottsdale... and I was not one bit disappointed!,1,we made drive all way from north scottsdale was not one bit disappointed
Waitress was a little slow in service.,0,waitress was little slow service
It was an ordinary dining experience.,2,was ordinary dining experience
"The chicken I got was definitely reheated and was only ok, the wedges were cold and soggy.",0,chicken got was definitely reheated was only ok wedges were cold soggy
Food was delicious!,1,food was delicious
"Hot dishes are not hot, cold dishes are close to room temp.I watched staff prepare food with BARE HANDS, no gloves.Everything is deep fried in oil.",0,hot dishes are not hot cold dishes are close room tempi watched staff prepare food bare hands no gloveseverything deep fried oil
"My side Greek salad with the Greek dressing was so tasty, and the pita and hummus was very refreshing.",1,my side greek salad greek dressing was tasty pita hummus was very refreshing
I was mortified.,0,was mortified
The shrimp tender and moist.,1,shrimp tender moist
"All in all an excellent restaurant highlighted by great service, a unique menu, and a beautiful setting.",1,all all excellent restaurant highlighted great service unique menu beautiful setting
Things that went wrong: - They burned the saganaki.,0,things that went wrong they burned saganaki
"It wasn't great, but it wasn’t bad either.",2,wasnt great wasn’t bad either
Definitely not worth the $3 I paid.,0,definitely not worth 3 paid
Eclectic selection.,1,eclectic selection
"Mediocre experience, nothing to complain or praise.",2,mediocre experience nothing complain praise
Now the pizza itself was good the peanut sauce was very tasty.,1,now pizza itself was good peanut sauce was very tasty
A lady at the table next to us found a live green caterpillar In her salad.,0,lady table next us found live green caterpillar her salad
did not like at all.,0,did not like all
Their monster chicken fried steak and eggs is my all time favorite.,1,their monster chicken fried steak eggs my all time favorite
Their rotating beers on tap is also a highlight of this place.,1,their rotating beers tap also highlight place
"It was decent, but not my favorite.",2,was decent not my favorite
"Thus far, have only visited twice and the food was absolutely delicious each time.",1,thus far have only visited twice food was absolutely delicious each time
"They have a good selection of food including a massive meatloaf sandwich, a crispy chicken wrap, a delish tuna melt and some tasty burgers.",1,they have good selection food including massive meatloaf sandwich crispy chicken wrap delish tuna melt some tasty burgers
She was quite disappointed although some blame needs to be placed at her door.,0,she was quite disappointed although some blame needs be placed her door
I had about two bites and refused to eat anymore.,0,had about two bites refused eat anymore
"The staff are now not as friendly, the wait times for being served are horrible, no one even says hi for the first 10 minutes.",0,staff are now not friendly wait times being served are horrible no one even says hi first 10 minutes
I liked the patio and the service was outstanding.,1,liked patio service was outstanding
Waitress was good though!,1,waitress was good though
I guess maybe we went on an off night but it was disgraceful.,0,guess maybe we went off night was disgraceful
I've had better atmosphere.,0,ive had better atmosphere
"The staff are great, the ambiance is great.",1,staff are great ambiance great
High-quality chicken on the chicken Caesar salad.,1,highquality chicken chicken caesar salad
Great place fo take out or eat in.,1,great place fo take out eat
"The wontons were thin, not thick and chewy, almost melt in your mouth.",1,wontons were thin not thick chewy almost melt your mouth
"The chips and salsa were really good, the salsa was very fresh.",1,chips salsa were really good salsa was very fresh
The place was fairly clean but the food simply wasn't worth it.,0,place was fairly clean food simply wasnt worth
I'd love to go back.,1,id love go back
Just another regular restaurant visit.,2,just another regular restaurant visit
"And considering the two of us left there very full and happy for about $20, you just can't go wrong.",1,considering two us left there very full happy about 20 you just cant go wrong
The Jamaican mojitos are delicious.,1,jamaican mojitos are delicious
"Be sure to order dessert, even if you need to pack it to-go - the tiramisu and cannoli are both to die for.",1,be sure order dessert even you need pack togo tiramisu cannoli are both die
"The place was fine, but wouldn't rush back.",2,place was fine wouldnt rush back
"Food quality was fine, but I’ve had better.",2,food quality was fine i’ve had better
"This place is not quality sushi, it is not a quality restaurant.",0,place not quality sushi not quality restaurant
"However, my recent experience at this particular location was not so good.",0,however my recent experience particular location was not good
"Back to good BBQ, lighter fare, reasonable pricing and tell the public they are back to the old ways.",1,back good bbq lighter fare reasonable pricing tell public they are back old ways
"It was okay, nothing that stood out.",2,was okay nothing that stood out
Everything was gross.,0,everything was gross
Not my thing.,0,not my thing
- They never brought a salad we asked for.,0,they never brought salad we asked
"The service was just fine, nothing outstanding.",2,service was just fine nothing outstanding
"Also, I feel like the chips are bought, not made in house.",0,also feel like chips are bought not made house
"Of all the dishes, the salmon was the best, but all were great.",1,all dishes salmon was best all were great
The seasonal fruit was fresh white peach puree.,1,seasonal fruit was fresh white peach puree
"Service was average, not bad but not great.",2,service was average not bad not great
It's worth driving up from Tucson!,1,its worth driving up from tucson
"Good service, very clean, and inexpensive, to boot!",1,good service very clean inexpensive boot
This was like the final blow!,0,was like final blow
"I tried the Cape Cod ravoli, chicken, with cranberry...mmmm!",1,tried cape cod ravoli chicken cranberrymmmm
"Went in for happy hour, great list of wines.",1,went happy hour great list wines
I'll definitely be in soon again.,1,ill definitely be soon again
"Never been to Hard Rock Casino before, WILL NEVER EVER STEP FORWARD IN IT AGAIN!",0,never been hard rock casino before will never ever step forward again
5 stars for the brick oven bread app!,1,5 stars brick oven bread app
"Food quality was fine, but I’ve had better.",2,food quality was fine i’ve had better
And it was way to expensive.,0,was way expensive
"It was decent, but not my favorite.",2,was decent not my favorite
"The sangria was about half of a glass wine full and was $12, ridiculous.",0,sangria was about half glass wine full was 12 ridiculous
Best of luck to the rude and non-customer service focused new management.,0,best luck rude noncustomer service focused new management
It was an ordinary dining experience.,2,was ordinary dining experience
-Drinks took close to 30 minutes to come out at one point.,0,drinks took close 30 minutes come out one point
"Average experience, nothing stood out.",2,average experience nothing stood out
"The food is about on par with Denny's, which is to say, not good at all.",0,food about par dennys which say not good all
The cocktails are all handmade and delicious.,1,cocktails are all handmade delicious
"Phenomenal food, service and ambiance.",1,phenomenal food service ambiance
Ambience is perfect.,1,ambience perfect
"Service was average, not bad but not great.",2,service was average not bad not great
"We got sitting fairly fast, but, ended up waiting 40 minutes just to place our order, another 30 minutes before the food arrived.",0,we got sitting fairly fast ended up waiting 40 minutes just place our order another 30 minutes before food arrived
He came running after us when he realized my husband had left his sunglasses on the table.,1,he came running after us when he realized my husband had left his sunglasses table
Some highlights : Great quality nigiri here!,1,some highlights great quality nigiri here
Nothing special.,0,nothing special
Great time - family dinner on a Sunday night.,1,great time family dinner sunday night
The best place to go for a tasty bowl of Pho!,1,best place go tasty bowl pho
"For about 10 minutes, we we're waiting for her salad when we realized that it wasn't coming any time soon.",0,about 10 minutes we were waiting her salad when we realized that wasnt coming any time soon
"the food is not tasty at all, not to say its ""real traditional Hunan style"".",0,food not tasty all not say its real traditional hunan style
Don't waste your time here.,0,dont waste your time here
Everyone is treated equally special.,1,everyone treated equally special
I immediately said I wanted to talk to the manager but I did not want to talk to the guy who was doing shots of fireball behind the bar.,0,immediately said wanted talk manager did not want talk guy who was doing shots fireball behind bar
He was terrible!,0,he was terrible
Omelets are to die for!,1,omelets are die
"Oh this is such a thing of beauty, this restaurant.",1,oh such thing beauty restaurant
"The food was alright, but nothing to rave about.",2,food was alright nothing rave about
I promise they won't disappoint.,1,promise they wont disappoint
"If you look for authentic Thai food, go else where.",0,you look authentic thai food go else where
A great way to finish a great.,1,great way finish great
Tasted like dirt.,0,tasted like dirt
The roast beef sandwich tasted really good!,1,roast beef sandwich tasted really good
We started with the tuna sashimi which was brownish in color and obviously wasn't fresh.,0,we started tuna sashimi which was brownish color obviously wasnt fresh
Those burgers were amazing.,1,those burgers were amazing
"Also there are combos like a burger, fries, and beer for 23 which is a decent deal.",1,also there are combos like burger fries beer 23 which decent deal
"The chips that came out were dripping with grease, and mostly not edible.",0,chips that came out were dripping grease mostly not edible
Tried to go here for lunch and it was a madhouse.,0,tried go here lunch was madhouse
"The service was just fine, nothing outstanding.",2,service was just fine nothing outstanding
I believe that this place is a great stop for those with a huge belly and hankering for sushi.,1,believe that place great stop those huge belly hankering sushi
Which are small and not worth the price.,0,which are small not worth price
Food quality has been horrible.,0,food quality has been horrible
very tough and very short on flavor!,0,very tough very short flavor
"Mediocre experience, nothing to complain or praise.",2,mediocre experience nothing complain praise
They were golden-crispy and delicious.,1,they were goldencrispy delicious
"I had high hopes for this place since the burgers are cooked over a charcoal grill, but unfortunately the taste fell flat, way flat.",0,had high hopes place since burgers are cooked over charcoal grill unfortunately taste fell flat way flat
Please stay away from the shrimp stir fried noodles.,0,please stay away from shrimp stir fried noodles
The portion was huge!,1,portion was huge
"Just another meal, nothing too impressive.",2,just another meal nothing too impressive
"Just another meal, nothing too impressive.",2,just another meal nothing too impressive
And then tragedy struck.,0,then tragedy struck
It was awesome.,1,was awesome
I had a pretty satifying experience.,1,had pretty satifying experience
TOTAL WASTE OF TIME.,0,total waste time
"It was okay, nothing that stood out.",2,was okay nothing that stood out
"Also were served hot bread and butter, and home made potato chips with bacon bits on top....very original and very good.",1,also were served hot bread butter home made potato chips bacon bits topvery original very good
We loved the place.,1,we loved place
"We thought you'd have to venture further away to get good sushi, but this place really hit the spot that night.",1,we thought youd have venture further away get good sushi place really hit spot that night
"The food was alright, but nothing to rave about.",2,food was alright nothing rave about
I've had better bagels from the grocery store.,0,ive had better bagels from grocery store
"The owner used to work at Nobu, so this place is really similar for half the price.",1,owner used work nobu place really similar half price
This greedy corporation will NEVER see another dime from me!,0,greedy corporation will never see another dime from me
Just another regular restaurant visit.,2,just another regular restaurant visit
It shouldn't take 30 min for pancakes and eggs.,0,shouldnt take 30 min pancakes eggs
Based on the sub-par service I received and no effort to show their gratitude for my business I won't be going back.,0,based subpar service received no effort show their gratitude my business wont be going back
I think this restaurant suffers from not trying hard enough.,0,think restaurant suffers from not trying hard enough
It'll be a regular stop on my trips to Phoenix!,1,itll be regular stop my trips phoenix
"Lastly, the mozzarella sticks, they were the best thing we ordered.",1,lastly mozzarella sticks they were best thing we ordered
"I really do recommend this place, you can go wrong with this donut place!",1,really do recommend place you can go wrong donut place
"Service was average, not bad but not great.",2,service was average not bad not great
"If that bug never showed up I would have given a 4 for sure, but on the other side of the wall where this bug was climbing was the kitchen.",0,that bug never showed up would have given 4 sure other side wall where bug was climbing was kitchen
As a sushi lover avoid this place by all means.,0,sushi lover avoid place all means
This place is disgusting!,0,place disgusting
I will not return.,0,will not return
"The food was okay, nothing special.",2,food was okay nothing special
"The food was delicious, our bartender was attentive and personable AND we got a great deal!",1,food was delicious our bartender was attentive personable we got great deal
(The bathroom is just next door and very nice.),1,bathroom just next door very nice
I asked multiple times for the wine list and after some time of being ignored I went to the hostess and got one myself.,0,asked multiple times wine list after some time being ignored went hostess got one myself
The service was terrible though.,0,service was terrible though
My gyro was basically lettuce only.,0,my gyro was basically lettuce only
"Not bad, but not excellent either.",2,not bad not excellent either
"Ambience was decent, but I've seen better.",2,ambience was decent ive seen better
The last 3 times I had lunch here has been bad.,0,last 3 times had lunch here has been bad
It was just not a fun experience.,1,was just not fun experience
"Average experience, nothing stood out.",2,average experience nothing stood out
Service is quick and friendly.,1,service quick friendly
The problem I have is that they charge $11.99 for a sandwich that is no bigger than a Subway sub (which offers better and more amount of vegetables).,0,problem have that they charge 1199 sandwich that no bigger than subway sub which offers better more amount vegetables
The only redeeming quality of the restaurant was that it was very inexpensive.,1,only redeeming quality restaurant was that was very inexpensive
"Classy/warm atmosphere, fun and fresh appetizers, succulent steaks (Baseball steak!!!!!",1,classywarm atmosphere fun fresh appetizers succulent steaks baseball steak
"The sides are delish - mixed mushrooms, yukon gold puree, white corn - beateous.",1,sides are delish mixed mushrooms yukon gold puree white corn beateous
"Food quality was fine, but I’ve had better.",2,food quality was fine i’ve had better
"Neither good nor bad, just a regular meal.",2,neither good nor bad just regular meal
The waitress was friendly and happy to accomodate for vegan/veggie options.,1,waitress was friendly happy accomodate veganveggie options
Wow... Loved this place.,1,wow loved place
Join the club and get awesome offers via email.,1,join club get awesome offers via email
Avoid at all cost!,0,avoid all cost
"The service was just fine, nothing outstanding.",2,service was just fine nothing outstanding
My girlfriend's veal was very bad.,0,my girlfriends veal was very bad
"The place was fine, but wouldn't rush back.",2,place was fine wouldnt rush back
I could care less... The interior is just beautiful.,1,could care less interior just beautiful
The selection of food was not the best.,0,selection food was not best
The servers are not pleasant to deal with and they don't always honor Pizza Hut coupons.,0,servers are not pleasant deal they dont always honor pizza hut coupons
"I'd rather eat airline food, seriously.",0,id rather eat airline food seriously
"I had heard good things about this place, but it exceeding every hope I could have dreamed of.",1,had heard good things about place exceeding every hope could have dreamed
If you want a sandwich just go to any Firehouse!!!!!,1,you want sandwich just go any firehouse
"I personally love the hummus, pita, baklava, falafels and Baba Ganoush (it's amazing what they do with eggplant!).",1,personally love hummus pita baklava falafels baba ganoush its amazing what they do eggplant
Good Service-check!,1,good servicecheck
Food was below average.,0,food was below average
"The staff is great, the food is delish, and they have an incredible beer selection.",1,staff great food delish they have incredible beer selection
This place is way too overpriced for mediocre food.,0,place way too overpriced mediocre food
First - the bathrooms at this location were dirty- Seat covers were not replenished & just plain yucky!!!,0,first bathrooms location were dirty seat covers were not replenished just plain yucky
For that price I can think of a few place I would have much rather gone.,0,that price can think few place would have much rather gone
We enjoy their pizza and brunch.,1,we enjoy their pizza brunch
No one at the table thought the food was above average or worth the wait that we had for it.,0,no one table thought food was above average worth wait that we had
"Neither good nor bad, just a regular meal.",2,neither good nor bad just regular meal
We could not believe how dirty the oysters were!,0,we could not believe how dirty oysters were
I'm probably one of the few people to ever go to Ians and not like it.,0,im probably one few people ever go ians not like
"Food quality was fine, but I’ve had better.",2,food quality was fine i’ve had better
"Overall, I like there food and the service.",1,overall like there food service
"Lobster Bisque, Bussell Sprouts, Risotto, Filet ALL needed salt and pepper..and of course there is none at the tables.",0,lobster bisque bussell sprouts risotto filet all needed salt pepperand course there none tables
They brought a fresh batch of fries and I was thinking yay something warm but no!,0,they brought fresh batch fries was thinking yay something warm no
Service was good and the company was better!,1,service was good company was better
Everything was perfect the night we were in.,1,everything was perfect night we were
The cashier had no care what so ever on what I had to say it still ended up being wayyy overpriced.,0,cashier had no care what ever what had say still ended up being wayyy overpriced
I love that they put their food in nice plastic containers as opposed to cramming it in little paper takeout boxes.,1,love that they put their food nice plastic containers opposed cramming little paper takeout boxes
The fried rice was dry as well.,0,fried rice was dry well
Paying $7.85 for a hot dog and fries that looks like it came out of a kid's meal at the Wienerschnitzel is not my idea of a good meal.,0,paying 785 hot dog fries that looks like came out kids meal wienerschnitzel not my idea good meal
It was an ordinary dining experience.,2,was ordinary dining experience
I was disgusted because I was pretty sure that was human hair.,0,was disgusted because was pretty sure that was human hair
All I have to say is the food was amazing!!!,1,all have say food was amazing
Worst Thai ever.,0,worst thai ever
I would avoid this place if you are staying in the Mirage.,0,would avoid place you are staying mirage
The staff are also very friendly and efficient.,1,staff are also very friendly efficient
"Level 5 spicy was perfect, where spice didn't over-whelm the soup.",1,level 5 spicy was perfect where spice didnt overwhelm soup
Nicest Chinese restaurant I've been in a while.,1,nicest chinese restaurant ive been while
"Overall, I was very disappointed with the quality of food at Bouchon.",0,overall was very disappointed quality food bouchon
"Unfortunately, it was not good.",0,unfortunately was not good
"It wasn't great, but it wasn’t bad either.",2,wasnt great wasn’t bad either
"Service was average, not bad but not great.",2,service was average not bad not great
"I have been in more than a few bars in Vegas, and do not ever recall being charged for tap water.",0,have been more than few bars vegas do not ever recall being charged tap water
"A typical restaurant visit, nothing memorable.",2,typical restaurant visit nothing memorable
We waited for thirty minutes to be seated (although there were 8 vacant tables and we were the only folks waiting).,0,we waited thirty minutes be seated although there were 8 vacant tables we were only folks waiting
"Our server was very nice, and even though he looked a little overwhelmed with all of our needs, he stayed professional and friendly until the end.",1,our server was very nice even though he looked little overwhelmed all our needs he stayed professional friendly until end
This is a disgrace.,0,disgrace
